AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
MUSC898  |Pre-Candidacy Research| REG 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSP898  |Pre-Candidacy Research| REG 1-8 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSP899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
NACS600 |<i> Prerequisite: Completion of one year of graduate study. Corequisite: Permission of instructor. For NACS majors only. Also offered as PSYC788B. Credit will be granted for only one of the following: ZOOL600, NACS728F, PSYC788B, BIOL600. Formerly NACS728F. </i> Issues of scientific integrity with emphasis on investigators in the laboratory sciences, including mentoring, scientific record keeping, authorship and peer review, ownership of data, use of animals and humans in research, and conflict of interest. Also offered as PSYC788B and BIOL600.| |Ethics in Scientific Research| REG/AUD 2 (PermReq) 
NACS608  |Neuroscience and Cognitive Science Seminar| REG 1  
NACS642 |A study of the fundamental concepts and techniques of cognitive and computation nueroscience. Recurring themes in the field such as face recognition, learning, and language are examined.| |Cognitive and Computational Neuroscience| REG/AUD 4  
NACS643 |<i> Prerequisite: NACS641 and calculus or permission of instructor. Credit will be granted for only one of the following: NACS643 or NACS728N. Formerly NACS728N. </i> Provides a mathematical foundation in computational neuroscience. Use of a computer with MATLAB will be required for the homework assignments.| |Computational Neuroscience| REG/AUD 4  
NACS644 |<i> Prerequisite: NACS641 or permission of instructor. Credit will be granted for only one of the following: NACS644 or NACS728Z. </i> Overview of insights into the molecular mechanisms underlying the structure and function of the nervous system.| |Cellular and Molecular Neuroscience| REG/AUD 4  
NACS898  |Pre-Candidacy Research| REG/S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
NACS899  |Doctoral Dissertation Research| REG/S-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC250 |<i> Prerequisites: NFSC112; and CHEM103; and CHEM113; permission of department. For NFSC majors only. </i> Composition and structure of food with emphasis on chemical, physical, and biological properties, as well as quality characteristics of food products. Food preparation lab with emphasis on the experimental study of food.| |Science of Food| REG/P-F/AUD 4  
NFSC315 |<i> Prerequisite: NFSC100 or NFSC200. Formerly NUTR315. </i> A study of how development throughout life, including prenatal development, pregnancy, lactation, adolescence and aging, alter nutrient requirements. Students will apply this knowledge to the dietary needs and food choices of these different groups.| |Nutrition During the Life Cycle| REG/P-F/AUD 3  
NFSC350 |<i> Prerequisite: BSCI223, BMGT364 and permission of department. For Dietetics majors only. </i> Introduction to management. Responsibilities in quantity food production and purchasing in a foodservice operation. Laboratory experience in planning, preparation, and service of meals which meet the nutritional needs of the consumer.| |Foodservice Operations| REG 5  
NFSC386 |<i> Prerequisite: permission of department. Formerly FDSC386 and NUTR386. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC398 |FDSC majors only.| Seminar REG 1  
NFSC399  |Special Problems in Food Science| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC412 |<i> Prerequisites: CHEM241/CHEM242; NFSC414; NFSC431; and NFSC434. Corequisites: NFSC421 and NFSC423. Recommended: MATH220. </i> Provides in-depth study of the major industrial modes of food preservation. It integrates aspects of the biology, microbiology, biochemistry and engineering disciplines as they relate to food processing technology and food science.| |Food Processing Technology| REG/P-F/AUD 4  
NFSC430 |<i> Prerequisite: BSCI233 or equivalent. Also offered as ANSC430. Credit will be granted for only one of the following: ANSC430. Formerly FDSC430. </i> A study of microorganisms of major importance to the food industry with emphasis on food-borne outbreaks, public health significance, bioprocessing of foods, disease control, and the microbial spoilage of foods.| |Food Microbiology| REG/P-F/AUD 3  
NFSC431 |Definition and organization of the quality control function in the food industry; preparation of specifications; statistical methods for acceptance sampling; in-plant and processed product inspection. Instrumental and sensory methods for evaluating sensory quality, identity and wholesomeness and their integration into grades and standards of quality. Statistical Process Control (SPC).| |Food Quality Control| REG/P-F/AUD 4  
NFSC450 |<i> Prerequisites: NFSC100 or NFSC200; and BCHM461. Formerly NUTR450. </i> Methods and practices of the analysis of foods and nutrients. An overview of the principles and basic mechanisms used in many of the analytical procedures commonly used in food and nutrition research. Emphasis will be placed on hands-on development of skills necessary to complete each analytical procedure; and on the accurate and concise description of the methodology and results from their application and on the regulations governing food analysis for nutritional labeling.| |Food and Nutrient Analysis| REG/P-F/AUD 3  
NFSC460 |<i> Prerequisites: NFSC380, NFSC440 and permission of department. Formerly NUTR460. </i> Modifications of the normal adequate diet to meet human nutritional needs in acute and chronic diseases and metabolic disorders.| |Medical Nutrition Therapy| REG/P-F/AUD 4 (PermReq) 
NFSC470 |<i> Prerequisite: NFSC315 and permission of department. Formerly NUTR470. </i> Perspectives underlying the practice of nutrition services in community settings. Assessment of needs, program planning and evaluation. Programs and strategies to meet nutrition needs outside the acute care setting, such as nutrition education and food assistance. National nutrition policy and federal initiatives in nutrition will be examined. Students will be required to travel to local community nutrition sites during the semester.| |Community Nutrition| REG/P-F/AUD 3  
NFSC490 |<i> Prerequisites: NFSC440 and permission of department. </i> Individually selected problems in the area of human nutrition.| |Special Problems in Nutrition| REG/P-F/AUD 2-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC491 |<i> Prerequisite: NFSC350 and permission of department. Corequisite: NFSC460. Senior standing. For DIET majors only. </i> A capstone course for dietetics majors. Students will integrate knowledge and theory of nutrition, food, management, psychology, and social behaviors necessary to support quality dietetic practice. Working in teams, students will participate in case studies, simulated situations and community projects. Individuals and groups will present cases as well as papers on published research.| |Issues and Problems in Dietetics| REG/P-F/AUD 3  |CORE Capstone (CS) Course.|
NFSC498  |Selected Topics| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC611 |<i> Recommended: BCHM461, BCHM463, or NFSC440. </i> The emerging discipline of molecular nutrition encompasses nutritional biochemistry, nutritional genomics, nutritional metabolomics, and epigenetics. It focuses on the effects of diet and nutrients on an individual's genome and metabolism, and how the molecular events affect human health. This is a co-taught course together with National Taiwan University via videoconferencing.| |Molecular Nutrition: Genomic, Metabolic, and Health Aspects| REG/AUD 2  
NFSC678A  |Selected Topics in Nutrition| REG/AUD 1-4  |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC688  |Seminar in Nutrition and Food Science| REG/AUD 1-3  
NFSC699  |Problems in Nutrition and Food Science| REG/AUD 1-4 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC799  |Master's Thesis Research| REG 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC898  |Pre-Candidacy Research| REG 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
NFSC899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
PERS102 |<i> Not open to native/fluent speakers of Persian. Prerequisite: PERS101 or equivalent. Credit will be granted for only one of the following: PERS102 or FOLA139K. Formerly FOLA139K. </i> Continuation of PERS101 with emphasis on the use of formal language, vocabulary building, and reading.| |Elementary Persian II| REG/P-F 4  
PERS202 |<i> Not open to native/fluent speakers of Persian. Prerequisite: PERS201 or equivalent. </i> Further development of speaking, writing, listening and cultural knowledge, with special focus on culture.| |Intermediate Persian II| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
PERS212 |<i> Prerequisite: PERS201 and PERS211 or permission of instructor. Corequisite: PERS202 or permission of instructor. </i> Focus on linguistic skill specific to reading; introduction to written traditions of Persian.| |Intermediate Reading in Persian| REG/P-F/AUD 3  
PERS302 |<i> Not open to fluent/native speakers of Persian. Prerequisite: PERS301 or equivalent. </i> Further development of speaking, reading, writing, listening and cultural knowledge, with special focus on reading, in a variety of literary genres.| |Advanced Persian II| REG/P-F/AUD 3  
